,yr_built,sqft_lot,sqft_lot15,sqft_living
548,1979,18360,9588,2300
549,1943,8865,6490,1320
550,1946,10221,8535,2180
551,1952,6320,7680,4380
552,1949,9813,10125,1790
553,1943,8125,8750,750
554,1956,8280,8692,1300
555,1999,29170,29170,2990
556,1965,15235,20697,4640
557,1959,7242,7314,1400
558,1973,9563,9563,2750
559,1998,10271,8103,2050
560,1978,108900,65340,2230
561,1982,217014,107898,2340
562,2014,5163,7995,2870
563,1997,22370,7257,4120
564,1960,9162,8944,2080
565,2008,5680,4697,1840
566,1959,5350,5350,1180
567,1927,4000,4000,2160
568,1907,3400,3400,1180
569,1937,15029,25346,1160
570,2003,5612,5998,1830
571,2004,7708,7944,3200
572,1927,5445,5445,2560
573,1902,5040,3840,2550
574,1981,9917,9081,1330
575,1963,75794,98010,1220
576,2009,3402,3402,1805
577,2009,84942,199504,6050
578,2004,5493,5471,2320
579,1965,8960,8470,1384
580,2005,6439,7320,2720
581,1962,10608,8976,1820
582,1941,4920,4920,2130
583,1975,10070,8155,2060
584,1981,7500,7260,1420
585,1985,15744,15744,1510
586,1903,4000,5120,2160
587,1978,12600,12835,3180
588,1985,13300,14000,2110
589,1931,2900,3900,2060
590,1981,217800,165963,1830
591,1966,32666,43560,1820
592,2006,2937,3049,1610
593,2006,3600,3802,1780
594,1996,9611,8505,1840
595,1997,10584,12012,1460
596,2007,2958,2385,1400
597,2004,14402,9691,3370
598,1997,8249,7995,3590
599,1962,15367,15263,3200
600,2004,6460,6254,1670
601,1984,31465,32186,2420
602,1994,10816,10816,1430
603,1980,7070,7210,1440
604,1985,4789,4490,1450
605,1966,13938,9000,3550
606,2000,1175,1800,1270
607,1949,6804,6930,940
608,1990,6824,7586,1670
609,1996,15842,19400,3100
610,1997,1760,1415,1100
611,1925,3388,4050,1870
612,1990,5080,5085,1930
613,2005,4694,6344,2540
614,1988,7524,7777,1280
615,1967,8814,7515,1820
616,1981,9414,10125,1490
617,1988,5502,5411,1880
618,1971,9775,9650,1250
619,1983,7210,7245,1440
620,1989,7415,7536,1920
621,1976,5750,5750,2060
622,1958,10588,10588,1210
623,1927,5000,5000,1760
624,1947,6750,6860,990
625,1944,6400,6600,960
626,2014,1458,1784,1660
627,1941,9375,9375,1900
628,1970,2790,4000,1270
629,1983,34293,35982,3250
630,1982,9633,8610,960
631,1914,6000,6000,1330
632,1968,7700,7700,2080
633,1957,11575,11782,2690
634,1910,3060,4080,890
635,1977,8000,7990,1070
636,1953,8316,8316,1200
637,1949,8910,8912,1360
638,1993,13303,11590,2050
639,1924,5750,5750,3000
640,1963,3850,5500,1300
641,1982,9091,7802,2250
642,1978,6750,7920,3740
643,2015,1091,1352,1660
644,2003,6699,4744,2360
645,1987,6500,8125,1760
646,1916,6200,5100,1680
647,1918,2500,2750,1320
648,1939,26326,10608,870
649,1925,7645,7649,1260
650,1944,6020,8640,1000
651,1976,36400,38255,2020
652,1952,6862,6900,1920
653,1911,5400,6500,2150
654,1999,3976,4400,1470
655,1991,10492,9812,3180
656,1957,55867,26324,3930
657,1943,6000,6000,990
658,2001,3330,3380,2770
659,1953,8710,9185,1250
660,1986,22267,15625,1140
661,1967,14440,11400,2250
662,1969,5097,6000,1640
663,2004,1374,1232,1255
664,1976,12231,11632,1290
665,1986,9079,7369,1300
666,2007,1086,1422,1220
667,2002,4000,4000,2630
668,1959,15954,12667,1950
669,1965,5000,4000,3160
670,1949,4708,5600,1550
671,1940,6380,6380,1700
672,1978,11880,11211,2510
673,1921,4180,4620,1800
674,1968,18000,18000,1800
675,1975,9315,9579,1870
676,1925,3000,7000,1010
677,1924,17487,8056,1120
678,1969,4755,5300,2090
679,2001,18361,13641,4370
680,1981,7187,7187,1440
681,1984,209523,213444,2580
682,2006,7399,7323,3190
683,1995,5809,5775,2380
684,1930,4875,5413,1420
685,2014,6768,6768,2990
686,1990,7757,8231,2680
687,2006,7649,6216,2730
688,1946,8329,8322,1220
689,1967,12616,13950,1500
690,1958,11788,11964,1830
691,1965,19252,13314,4570
692,1983,7698,7986,2470
693,1927,4342,4343,800
694,1992,23488,34589,2900
695,1985,5760,6222,1410
696,1979,25958,21567,2830
697,1977,9966,10369,1680
698,1979,26055,13475,1760
699,1976,11034,11550,2240
700,1905,5000,5000,1380
701,1953,5100,5304,820
702,1950,10575,12010,2180
703,1900,3600,2048,1400
704,1928,9000,10000,880
705,1946,5703,4416,1060
706,1984,7245,7490,1530
707,1958,14782,10800,2480
708,1967,7150,9100,1490
709,1989,39478,38312,3660
710,1993,8548,6818,2340
711,1981,12125,12125,1450
712,1990,9875,8799,2210
713,1969,7400,7379,1130
714,1961,10500,9823,1550
715,1968,7140,8960,1710
716,1954,8108,8108,1010
717,1937,13579,8242,2660
718,1937,13579,8242,2660
719,1994,9644,9656,1300
720,2002,6186,6924,1670
721,1911,4080,4080,960
722,1988,51836,41075,4670
723,2007,2770,2708,2140
724,2004,5500,8000,2520
725,1978,9380,8856,1650
726,1978,5680,3547,1440
727,1950,5900,5900,1050
728,1983,7650,7500,1470
729,1989,37769,37034,4230
730,1976,7972,9796,1970
731,1992,17424,11439,1540
732,2012,8354,6348,2090
733,1934,17950,23900,2380
734,2012,3562,3539,2156
735,1986,8893,7700,2070
736,1951,8167,6816,1910
737,1977,7400,8048,1920
738,1937,5979,6435,3400
739,1974,9177,8547,1400
740,1997,17715,16907,2210
741,1929,4887,5441,1170
742,1995,72745,54885,2100
743,1967,9750,9650,1160
744,1925,4000,4000,1500
745,2000,6000,6600,2940
746,1963,5070,5400,2010
747,2003,4912,4395,2170
748,1940,5200,6240,1430
749,1970,6460,6630,1510
750,1952,6908,6908,1150
751,1960,4200,7500,2150
752,1944,6001,5520,1370
753,2010,6600,6600,2380
754,1911,3850,3600,1370
755,1979,14250,14960,1600
756,1981,9612,9688,3750
757,1991,3938,4500,3950
758,1964,13430,10077,2400
759,1918,4000,4000,2830
760,1996,22594,33341,2440
761,2008,1149,1316,1190
762,1997,218252,218222,1400
763,2005,4683,4924,2730
764,1983,7939,7939,2390
765,1984,31400,34500,2060
766,1961,9864,9864,2490
767,1984,10968,7799,1100
768,1965,6099,6099,2430
769,1995,12750,13125,3170
770,1987,8625,8700,2640
771,1961,7223,7356,1130
772,1957,7642,8724,1940
773,1912,3000,4000,1100
774,1955,10800,9950,1200
775,1963,8030,8250,2000
776,2002,4838,7409,1890
777,1910,2874,2874,1910
778,1998,5880,6000,2710
779,1905,9453,8557,4860
780,1967,23680,23680,1250
781,1938,8219,7504,1590
782,2009,1221,887,1240
783,1911,4800,1452,2000
784,1966,10003,10004,3610
785,1966,8040,8000,1930
786,1964,5400,5670,1280
787,1984,40419,63162,2090
788,1969,9887,9936,1940
789,1990,5761,5952,1800
790,1980,8400,8636,1730
791,1982,11120,12672,2810
792,1999,11000,10012,3550
793,1952,7980,8588,1330
794,1950,34133,25792,750
795,1947,7216,3844,1760
796,1993,36276,33171,3200
797,1958,9000,7700,1740
798,1999,4700,4700,2100
799,1993,40097,36149,4270
800,1913,2720,4590,1340
801,1967,8684,8684,3190
802,1987,4534,4779,1630
803,2007,15085,13076,2990
804,1954,7740,7740,1550
805,1989,4964,5036,1690
806,1989,12243,12230,1960
807,1977,9966,10713,2390
808,2004,4438,4904,2600
809,1999,8698,7212,1950
810,1964,7210,8800,1250
811,2008,1253,1963,1180
812,2004,4308,4182,1680
813,1989,36085,36906,2220
814,1999,15188,16201,4890
815,2014,17852,11876,2660
816,1988,3323,2980,1150
817,1941,5500,6600,1130
818,2005,5000,5030,2760
819,1992,8919,8919,1430
820,1932,57381,101529,1490
821,2004,4997,5500,2030
822,1931,5000,5000,3010
823,1954,7200,8100,1810
824,1954,7200,8100,1810
825,1968,5000,5875,970
826,1926,3090,3150,2010
827,1947,6030,6900,1300
828,1959,10350,10350,1260
829,1983,24931,18306,2610
830,1941,5753,5580,1910
831,1987,16290,8810,1780
832,1975,8600,8000,1900
833,1957,25600,10230,2450
834,1939,14000,18503,1380
835,1977,11340,9638,1920
836,2004,4003,4479,1350
837,2004,4003,4479,1350
838,1962,7440,8000,2510
839,2002,7780,5972,2470
840,1956,10725,9023,1660
841,1987,5175,5500,1340
842,1911,30736,28826,1620
843,1977,35287,47916,2300
844,2008,2309,1548,2000
845,1972,11050,11050,1640
846,1912,4080,4080,1530
847,1987,11894,8650,4000
848,1977,12555,10374,1610
849,1969,9000,7885,2070
850,1994,5790,5790,1900
851,1960,16050,27600,1050
852,2006,1304,1718,1520
853,1949,23899,33900,2390
854,1998,8050,8050,2400
855,2005,6120,5660,1790
856,1993,6271,6587,1720
857,1979,13260,10731,2980
858,1988,213444,213444,1520
859,1977,8690,7040,1150
860,1963,15000,15000,380
861,1951,5212,6300,910
862,1976,10150,8958,1650
863,2010,3200,3200,2480
864,1990,7416,7920,2050
865,1989,8549,7471,1420
866,2001,6590,6312,3460
867,1996,4445,4408,1500
868,1908,3090,4120,1320
869,1977,8240,7590,2180
870,1919,4160,4160,1830
871,1962,8701,7910,1620
872,1975,13650,10988,2920
873,1984,10514,11462,3300
874,1983,12095,11455,3060
875,1990,4764,4000,3064
876,1959,8498,8498,1530
877,1978,11576,8750,1910
878,1954,8100,8100,1020
879,1932,8100,8100,1150
880,1941,9570,7000,1260
881,1914,4822,4822,1920
882,1969,9350,8800,1800
883,1924,4000,4000,2040
884,1908,4000,4000,2200
885,1952,17204,15732,3200
886,1928,3118,3941,2400
887,2005,1058,1116,1140
888,1976,10640,8520,1330
889,1994,10035,8333,1940
890,1995,25341,32417,3000
891,1923,5400,5400,1820
892,2002,5000,5045,2910
893,1954,6771,4992,1090
894,2003,1340,1312,1230
895,1962,7700,7700,1710
896,1971,11470,11470,3160
897,1993,28243,32130,2680
898,1977,9009,10251,2190
899,1988,9600,9946,1260
900,1997,14486,14486,2970
901,1993,50308,37891,2570
902,2013,13592,9311,3810
903,2007,1157,1688,1010
904,1979,6698,7348,1480
905,1942,6041,6042,1250
906,1995,8479,8479,1654
907,1960,9315,8250,1410
908,1950,5720,4996,2160
909,1917,4800,6000,1400
910,1966,8738,8738,1420
911,1975,10062,9750,2500
912,1985,8384,9205,1410
913,1955,7135,4000,2100
914,1994,7208,7524,1750
915,1946,5500,4400,2070
916,2007,1777,1777,1570
917,1999,5322,5000,1920
918,1943,10320,5160,1000
919,1962,7700,7700,2120
920,1965,9220,7830,1440
921,1990,16275,16275,1660
922,1958,8450,8920,1340
923,1972,11824,11491,2380
924,1926,4049,3738,1560
925,1967,10480,10506,2780
926,1983,6687,6117,1860
927,1920,4600,5220,2390
928,2009,1140,1090,1370
929,1988,262018,19811,2570
930,2005,2614,2533,1320
931,1981,7863,8580,2520
932,1972,18616,15654,1250
933,1985,35026,35160,1560
934,1925,5000,5000,2330
935,1947,22410,8250,3660
936,2004,4650,4650,2790
937,1951,7200,8291,1060
938,1994,6564,5151,2020
939,1979,47916,75358,1580
940,1900,4300,3440,2020
941,1908,5665,4429,970
942,1915,6766,6526,1490
943,2005,10140,8400,4390
944,1910,5589,4250,2750
945,1950,23568,10125,2150
946,1977,7480,9594,1810
947,1990,12968,10160,2230
948,1977,10720,11560,2430
949,1994,13384,11306,3680
950,1929,6750,6750,1410
951,1958,6743,7350,1330
952,1963,10650,9800,1490
953,2000,1159,3600,2020
954,1996,13202,10470,3130
955,1916,5000,5000,2670
956,1920,4560,3245,1980
957,1963,14850,17238,2100
958,1944,8581,8451,1350
959,1959,7920,7238,2140
960,1917,5000,5000,2208
961,1982,7380,9030,1010
962,1910,2970,3000,970
963,1920,6174,5407,1520
964,1993,43101,33447,2740
965,1953,7500,7660,1570
966,1966,9000,9800,1320
967,1986,7636,8223,2550
968,1983,7207,7485,1560
969,1974,8616,9337,2360
970,1909,5000,4000,1330
971,1950,9000,12000,1070
972,1961,13737,10202,1510
973,1999,3469,3560,1710
974,1996,10819,12603,2790
975,2001,5450,5371,2620
976,1969,24759,21803,2970
977,1975,7854,7668,1050
978,1956,8712,8800,1280
979,1963,8400,8400,1030
980,1977,7800,7800,1900
981,1968,9804,9689,3070
982,2010,4139,3076,1760
983,1952,5400,5400,930
984,1942,7683,7695,880
985,2003,1016,1156,1360
986,1992,8560,8560,2130
987,1940,7469,7379,1480
988,1951,6388,5366,1500
989,1987,5004,5276,1670
990,1960,9828,9996,2060
991,1952,8158,7208,2160
992,1955,11583,10241,2780
993,1988,7651,7795,1490
994,1953,6460,6975,740
995,1991,6325,6449,1860
996,1920,20917,6000,1590
997,1922,2340,3000,850
998,1981,4188,3376,1030
999,1988,9550,9550,1850
